occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
106.5,3.54,47974.5,9347.24,5,0.0,0.1948,0.0332,0.0,GOOGLE,21.3
20,28.28,3040,4299.21,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,40.0
697.5,986.41,658621,931430.75,7,9.9,1.4142,1.4142,1.4142,AMAZON-02,99.6429
24,33.94,10659,15074.1,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,24.0
11,2.83,3660,634.98,1.5,0.71,0.1735,0.2571,0.4714,CLOUDFLARENET,7.3333
18,25.46,6951,9830.2,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,36.0
45.5,64.35,20337.5,28761.57,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,30.3333
7,9.9,3021,4272.34,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",14.0
12.5,17.68,4784,6765.6,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,25.0
16,1.41,5993.5,195.87,1,0.0,0.0327,0.0884,0.0,AS-PUBMATIC,16.0
9.5,13.44,3941,5573.42,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,19.0
6.5,9.19,2350.5,3324.11,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,13.0
13.5,19.09,5841.5,8261.13,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,13.5
5,7.07,2556,3614.73,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,10.0
5,7.07,2121,2999.55,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,10.0
6.5,9.19,3601,5092.58,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
3,4.24,646,913.58,0.5,0.71,1.4142,1.4142,1.4142,Criteo SA,6.0
14.5,20.51,5254.5,7430.99,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,29.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
