occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
18,11.31,2849,233.35,3,0.0,0.0819,0.6285,0.0,GOOGLE,6.0
8.5,12.02,2941.5,4159.91,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.5
1,1.41,187,264.46,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
2.5,3.54,163,230.52,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,5.0
334,103.24,257832.5,65133.73,6.5,0.71,0.2526,0.3091,0.1088,AMAZON-02,51.3846
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
55.5,78.49,71595,101250.62,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,111.0
3.5,4.95,676,956.01,0.5,0.71,1.4142,1.4142,1.4142,Criteo SA,7.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2,2.83,444,627.91,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,4.0
78,110.31,10194.5,14417.2,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,156.0
