occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
36,48.08,9399.5,13090.67,3,2.83,1.3927,1.3356,0.9428,GOOGLE,12.0
0.5,0.71,67,94.75,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
1,1.41,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
2,2.83,284.5,402.34,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
42,56.57,16537,23184.62,4.5,3.54,1.402,1.3469,0.7857,AMAZON-02,9.3333
2,2.83,119,168.29,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
2,2.83,129.5,183.14,0.5,0.71,1.4142,1.4142,1.4142,Criteo SA,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,1283,1814.44,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,4.0
