occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
12,11.31,763.5,662.56,4,2.83,0.8678,0.9428,0.7071,GOOGLE,3.0
12,16.97,5399.5,7636.05,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,12.0
56,79.2,52855,74748.26,1,1.41,1.4142,1.4142,1.4142,FASTLY,56.0
1.5,2.12,176,248.9,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
6,8.49,1598.5,2260.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,12.0
15,21.21,5118.5,7238.65,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,30.0
296,394.57,327659.5,447658.7,4,4.24,1.3662,1.333,1.0607,AMAZON-02,74.0
9,12.73,4672,6607.21,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,18.0
37,52.33,14442.5,20424.78,2,2.83,1.4142,1.4142,1.4142,Criteo SA,18.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
35.5,50.2,5437.5,7689.79,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,71.0
