occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
104,14.14,47463.5,396.69,4.5,2.12,0.0084,0.136,0.4714,GOOGLE,23.1111
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
22.5,31.82,3716.5,5255.92,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,45.0
290,343.65,120730.5,139958.35,10,7.07,1.1593,1.185,0.7071,AMAZON-02,29.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,NETFLIX-ASN,8.0
11,14.14,5723.5,7976.87,1,0.0,1.3937,1.2856,0.0,FACEBOOK,11.0
11,12.73,4000,5488.56,2,1.41,1.3721,1.1571,0.7071,CLOUDFLARENET,5.5
37.5,36.06,18459,17646.56,2,0.0,0.956,0.9617,0.0,AKAMAI-AS,18.75
19.5,27.58,7436.5,10516.8,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,39.0
8,11.31,3700.5,5233.3,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,8.0
13.5,19.09,4895.5,6923.28,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,27.0
16,1.41,5995,196.58,1,0.0,0.0328,0.0884,0.0,AS-PUBMATIC,16.0
26.5,12.02,11541.5,5510.48,1.5,0.71,0.4774,0.4536,0.4714,AMAZON-AES,17.6667
7,9.9,3020.5,4271.63,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",14.0
7,9.9,2437.5,3447.15,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,14.0
7.5,10.61,3711,5248.15,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,15.0
2,2.83,1252,1770.6,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
1.5,0.71,93,43.84,1,0.0,0.4714,0.4714,0.0,APPLE-ENGINEERING,1.5
359,507.7,440952.5,623601.01,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,718.0
12,16.97,4903,6933.89,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,24.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,4.0
4.5,6.36,2093,2959.95,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,9.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
