occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
34,48.08,7930,11214.71,3,4.24,1.4142,1.4142,1.4142,GOOGLE,11.3333
7.5,10.61,2711,3833.93,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,7.5
0.5,0.71,49.5,70.0,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
2.5,0.71,154.5,43.13,1.5,0.71,0.2792,0.2828,0.4714,APPLE-ENGINEERING,1.6667
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,5.0
334.5,113.84,257906.5,58066.9,5.5,0.71,0.2251,0.3403,0.1286,AMAZON-02,60.8182
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2.5,3.54,470,664.68,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,5.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,2.0
66,93.34,9100,12869.34,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,132.0
