occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
19.5,10.61,3776.5,1465.83,3.5,0.71,0.3881,0.5439,0.202,GOOGLE,5.5714
3.5,4.95,2117,2993.89,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,7.0
2,2.83,291.5,412.24,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
8.5,12.02,4324,6115.06,1.5,2.12,1.4142,1.4142,1.4142,APPLE-ENGINEERING,5.6667
2,2.83,293,414.36,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,4.0
5,7.07,260,367.7,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,10.0
2,2.83,119,168.29,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
49,67.88,20413,28794.8,4,4.24,1.4106,1.3854,1.0607,AMAZON-02,12.25
3.5,4.95,1400.5,1980.61,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,3.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,2.0
