occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
14,18.38,1499,2046.37,3,2.83,1.3652,1.3132,0.9428,GOOGLE,4.6667
11,15.56,5330,7537.76,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,11.0
2,2.83,292,412.95,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
17,24.04,6476.5,9159.15,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,34.0
4.5,6.36,281,397.39,1.5,2.12,1.4142,1.4142,1.4142,APPLE-ENGINEERING,3.0
11,15.56,1377,1947.37,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,22.0
30,42.43,14715.5,20810.86,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,30.0
38,48.08,8234,11350.48,2,1.41,1.3785,1.2653,0.7071,AMAZON-02,19.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
7.5,10.61,4379.5,6193.55,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,15.0
