occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
8.5,4.95,1840,2124.15,2.5,0.71,1.1544,0.5823,0.2828,GOOGLE,3.4
6.5,9.19,2835.5,4010.0,1.5,2.12,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,4.3333
4,5.66,614.5,869.03,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,8.0
147.5,178.9,39832.5,44839.76,6,2.83,1.1257,1.2129,0.4714,AMAZON-02,24.5833
23,32.53,8826,12481.85,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,46.0
2,2.83,227,321.03,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
1,1.41,220.5,311.83,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
2,2.83,150,212.13,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
5.5,6.36,239.5,226.98,1,0.0,0.9477,1.1571,0.0,CLOUDFLARENET,5.5
3,2.83,419,453.96,1,0.0,1.0834,0.9428,0.0,AMAZON-AES,3.0
364,514.77,437832.5,619188.66,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,728.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
8.5,12.02,4309,6093.85,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,17.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
