occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
20,16.97,2066,2152.43,2.5,0.71,1.0418,0.8485,0.2828,GOOGLE,8.0
4,5.66,437.5,618.72,1.5,2.12,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,2.6667
1,1.41,170.5,241.12,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
348.5,482.95,300619.5,424578.73,6,2.83,1.4123,1.3858,0.4714,AMAZON-02,58.0833
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
9,12.73,3836.5,5425.63,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,18.0
2,2.83,110,155.56,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
5,7.07,200,282.84,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,10.0
2,2.83,444,627.91,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
74.5,105.36,9646.5,13642.21,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,149.0
