occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
647,267.29,679316,134982.44,5,5.66,0.1987,0.4131,1.1314,GOOGLE,129.4
3,4.24,277,391.74,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,3.0
1,1.41,105,148.49,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3,4.24,171.5,242.54,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,3.0
2.5,3.54,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
316.5,447.6,413279,584464.77,1,1.41,1.4142,1.4142,1.4142,YOUTUBE,316.5
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,3.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
