occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
112,158.39,48307.5,68317.12,4.5,6.36,1.4142,1.4142,1.4142,GOOGLE,24.8889
21,29.7,3334,4714.99,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,42.0
520,107.48,426798,335355.29,8,7.07,0.7857,0.2067,0.8839,AMAZON-02,65.0
12.5,17.68,6067.5,8580.74,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,25.0
41.5,58.69,19443,27496.55,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,27.6667
15.5,21.92,6815,9637.87,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,31.0
5.5,7.78,2237,3163.6,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
8,11.31,3700.5,5233.3,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
6.5,9.19,2576,3643.01,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
15.5,21.92,5893.5,8334.67,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
9.5,13.44,3589,5075.61,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.3333
6.5,9.19,2677.5,3786.56,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",13.0
19.5,27.58,8905,12593.57,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.0
6.5,9.19,3354,4743.27,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
5,7.07,2645,3740.59,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,10.0
1007,1424.11,1239141,1752410.01,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2014.0
0.5,0.71,30,42.43,0.5,0.71,1.4142,1.4142,1.4142,,1.0
