occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
9.5,4.95,1168,1210.57,2.5,2.12,1.0364,0.521,0.8485,GOOGLE,3.8
64.5,65.76,36365.5,37375.54,2.5,0.71,1.0278,1.0195,0.2828,MICROSOFT-CORP-MSN-AS-BLOCK,25.8
2,2.83,142,200.82,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,4.0
3.5,4.95,576.5,815.29,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
13,18.38,4373,6184.36,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,26.0
3,4.24,165.5,234.05,1,1.41,1.4142,1.4142,1.4142,Akamai International B.V.,3.0
9.5,13.44,4606.5,6514.57,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,9.5
7.5,10.61,300,424.26,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,15.0
