occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
10.5,12.02,4799.5,6640.44,3.5,3.54,1.3836,1.1448,1.0102,GOOGLE,3.0
5,7.07,2340,3309.26,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,10.0
13,4.24,4865,3582.2,1.5,0.71,0.7363,0.3264,0.4714,FACEBOOK,8.6667
6.5,9.19,984,1391.59,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,13.0
547.5,724.78,475702.5,642412.87,8,2.83,1.3505,1.3238,0.3536,AMAZON-02,68.4375
6.5,7.78,279.5,283.55,2,1.41,1.0145,1.1966,0.7071,CLOUDFLARENET,3.25
25,35.36,13056.5,18464.68,2.5,3.54,1.4142,1.4142,1.4142,AMAZON-AES,10.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,4.0
4.5,2.12,1081.5,309.01,1.5,0.71,0.2857,0.4714,0.4714,AKAMAI-AS,3.0
2,2.83,225,318.2,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
1,1.41,368.5,521.14,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
5.5,7.78,2181,3084.4,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,11.0
2,2.83,201,284.26,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
6,8.49,3057,4323.25,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,1.0
10,14.14,4402,6225.37,1.5,2.12,1.4142,1.4142,1.4142,APPLE-ENGINEERING,6.6667
4,5.66,2266.5,3205.32,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,8.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
