occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
19.5,27.58,4013,5675.24,2.5,3.54,1.4142,1.4142,1.4142,GOOGLE,7.8
7.5,10.61,2711,3833.93,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,7.5
0.5,0.71,56,79.2,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
359.5,55.86,304299,124879.3,5.5,3.54,0.4104,0.1554,0.6428,AMAZON-02,65.3636
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2.5,3.54,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
2,2.83,444,627.91,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,4.0
76,107.48,9928.5,14041.02,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,152.0
