occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
119.5,166.17,50320,71016.15,5,4.24,1.4113,1.3905,0.8485,GOOGLE,23.9
20.5,28.99,3246,4590.54,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,41.0
1581.5,1436.13,1688160.5,1514151.09,8.5,10.61,0.8969,0.9081,1.2478,AMAZON-02,186.0588
11,15.56,5815,8223.65,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,22.0
9.5,13.44,3600.5,5091.88,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.3333
16,22.63,7237.5,10235.37,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,32.0
17.5,24.75,9439,13348.76,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,17.5
5.5,7.78,2236,3162.18,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
6,8.49,2652,3750.49,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
4.5,6.36,2472,3495.94,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
15.5,21.92,5893.5,8334.67,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
8,11.31,3700.5,5233.3,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
19,26.87,8879,12556.8,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
6.5,9.19,3353,4741.86,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
5,7.07,2113,2988.23,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,10.0
4.5,6.36,2620.5,3705.95,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,9.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
