occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
19.5,3.54,5672,425.68,3.5,0.71,0.075,0.1813,0.202,GOOGLE,5.5714
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1.0
10.5,14.85,1787.5,2527.91,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,21.0
536,709.94,508199.5,700539.88,8,7.07,1.3785,1.3245,0.8839,AMAZON-02,67.0
22,12.73,8697.5,6070.51,1,0.0,0.698,0.5785,0.0,FACEBOOK,22.0
2.5,3.54,119.5,169.0,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.6667
5.5,7.78,305.5,432.04,1,1.41,1.4142,1.4142,1.4142,EDGECAST,5.5
30.5,38.89,10173.5,14149.91,2,1.41,1.3909,1.2751,0.7071,AKAMAI-AS,15.25
2,2.83,225,318.2,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
3.5,4.95,140,197.99,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,7.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",4.0
5.5,7.78,2181,3084.4,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,11.0
2,0.0,200.5,71.42,1,0.0,0.3562,0.0,0.0,AS-PUBMATIC,2.0
2.5,3.54,393,555.79,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,2.5
7.5,10.61,2490.5,3522.1,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
1.5,2.12,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,3.0
6,8.49,3305,4673.98,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
8,11.31,4294.5,6073.34,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
