occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
30,39.6,4917.5,6750.75,3.5,3.54,1.3728,1.3199,1.0102,GOOGLE,8.5714
8,11.31,2910.5,4116.07,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
3,4.24,456,644.88,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,6.0
339,121.62,261267.5,61377.58,4.5,2.12,0.2349,0.3588,0.4714,AMAZON-02,75.3333
3,4.24,179,253.14,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,3.0
6,8.49,331.5,468.81,1,1.41,1.4142,1.4142,1.4142,EDGECAST,6.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
70.5,99.7,9334,13200.27,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,141.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
1,1.41,59.5,84.15,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
6.5,9.19,2877.5,4069.4,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,13.0
