occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
108.5,152.03,50854,71844.88,4.5,4.95,1.4128,1.4012,1.0999,GOOGLE,24.1111
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1.0
18.5,26.16,3265.5,4618.11,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,37.0
1283,547.3,1410304,858322.98,9,11.31,0.6086,0.4266,1.2571,AMAZON-02,142.5556
15.5,21.92,7164.5,10132.13,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,31.0
10,14.14,3927,5553.62,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.6667
16.5,23.33,6867.5,9712.11,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,33.0
35,49.5,16316.5,23075.02,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,23.3333
5.5,7.78,2236.5,3162.89,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
8.5,12.02,3720.5,5261.58,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,17.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6.5,9.19,2576.5,3643.72,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
15.5,21.92,5894,8335.37,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
29.5,41.72,14136.5,19992.03,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,19.6667
5,7.07,3606,5099.65,1,1.41,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
7.5,10.61,2773,3921.61,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
5,7.07,2119,2996.72,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,10.0
6,8.49,3328,4706.5,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
8,11.31,4294.5,6073.34,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,16.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
