occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
11,11.31,1477,1811.61,3,1.41,1.2265,1.0285,0.4714,GOOGLE,3.6667
3,4.24,477.5,675.29,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,6.0
1,1.41,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
8,11.31,2499.5,3534.83,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,16.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
7.5,10.61,4262,6027.38,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,15.0
146.5,65.76,103464.5,82411.17,4,2.83,0.7965,0.4489,0.7071,AMAZON-02,36.625
13.5,19.09,6364.5,9000.76,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,13.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
