occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
273.5,300.52,238052.5,317971.07,8,1.41,1.3357,1.0988,0.1768,GOOGLE,34.1875
27.5,9.19,12704.5,3014.4,1.5,0.71,0.2373,0.3343,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,18.3333
4.5,6.36,452.5,639.93,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,9.0
9.5,9.19,4278,5791.2,1,0.0,1.3537,0.9676,0.0,FACEBOOK,9.5
156.5,195.87,179481.5,250224.58,1,0.0,1.3942,1.2516,0.0,EDGECAST,156.5
9,12.73,3419.5,4835.9,1,1.41,1.4142,1.4142,1.4142,FASTLY,9.0
9,8.49,4127.5,5557.15,1,0.0,1.3464,0.9428,0.0,CLOUDFLARENET,9.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2,2.83,123.5,174.66,1,1.41,1.4142,1.4142,1.4142,AMAZON-02,2.0
3,4.24,604.5,854.89,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,6.0
14,19.8,6280,8881.26,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,28.0
