occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
6,5.66,386.5,355.67,2.5,2.12,0.9202,0.9428,0.8485,GOOGLE,2.4
1,1.41,140,197.99,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
2,2.83,702,992.78,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,4.0
17,24.04,4172.5,5900.81,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,11.3333
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,4.0
51.5,71.42,5847.5,8131.02,3.5,3.54,1.3905,1.3868,1.0102,AMAZON-02,14.7143
0.5,0.71,39.5,55.86,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
9,12.73,3893,5505.53,0.5,0.71,1.4142,1.4142,1.4142,APPLE-AUSTIN,18.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,LLNW,6.0
