occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
79.5,109.6,36022,50739.15,4,4.24,1.4086,1.3786,1.0607,GOOGLE,19.875
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
3,4.24,427,603.87,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,6.0
114,131.52,46804.5,47533.84,6.5,6.36,1.0156,1.1537,0.9791,AMAZON-02,17.5385
14.5,20.51,6696.5,9470.28,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,29.0
3,4.24,1540,2177.89,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
55,77.78,56698,80183.08,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,36.6667
15,21.21,7182,10156.88,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,30.0
19,26.87,8875,12551.15,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
5,7.07,2498,3532.71,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,10.0
16,22.63,5921,8373.56,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,16.0
2,2.83,774,1094.6,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",4.0
4.5,6.36,2055,2906.21,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,9.0
3,4.24,752,1063.49,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,6.0
3,4.24,382.5,540.94,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
7.5,10.61,2773,3921.61,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
1.5,2.12,1222,1728.17,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
505,714.18,534077.5,755299.64,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1010.0
1,1.41,370.5,523.97,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,2.0
