occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
42.5,19.09,7153,3563.82,5,1.41,0.4982,0.4492,0.2828,GOOGLE,8.5
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
2.5,3.54,307,434.16,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,5.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
11,14.14,2402.5,3280.27,2,1.41,1.3654,1.2856,0.7071,FACEBOOK,5.5
5,1.41,538,14.14,3.5,2.12,0.0263,0.2828,0.6061,AMAZON-02,1.4286
10.5,14.85,546,772.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,21.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,STACKPATH-CDN,2.0
2,2.83,119,168.29,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
7,9.9,4231,5983.54,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,14.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,SOFTLAYER,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
9.5,13.44,506,715.59,0.5,0.71,1.4142,1.4142,1.4142,LLNW,19.0
