occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
5.5,2.12,1303,1117.23,2.5,2.12,0.8574,0.3857,0.8485,GOOGLE,2.2
4.5,6.36,654,924.9,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,9.0
1,1.41,60.5,85.56,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
631.5,869.03,602309,841396.26,7,2.83,1.397,1.3761,0.4041,AMAZON-02,90.2143
2.5,3.54,130,183.85,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,1.6667
3,1.41,275.5,34.65,1.5,0.71,0.1258,0.4714,0.4714,AS-PUBMATIC,2.0
4,1.41,238,1.41,2.5,0.71,0.0059,0.3536,0.2828,CLOUDFLARENET,1.6
3,4.24,318,449.72,1.5,2.12,1.4142,1.4142,1.4142,TWITTER,2.0
2,2.83,344,486.49,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,5.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,1.0
8,8.49,2506,3286.63,1.5,0.71,1.3115,1.0607,0.4714,Criteo SA,5.3333
3.5,4.95,244,345.07,2,2.83,1.4142,1.4142,1.4142,FASTLY,1.75
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,2.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,1.0
