occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
18.5,23.33,5294.5,7296.63,3,2.83,1.3782,1.2613,0.9428,GOOGLE,6.1667
14,5.66,5867,72.12,1,0.0,0.0123,0.4041,0.0,MICROSOFT-CORP-MSN-AS-BLOCK,14.0
1,1.41,71,100.41,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,2.0
2.5,3.54,371,524.67,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,5.0
0.5,0.71,30,42.43,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
3.5,4.95,182,257.39,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,7.0
7.5,10.61,390,551.54,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,5.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
1.5,2.12,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
320.5,245.37,286347.5,360284.34,5.5,0.71,1.2582,0.7656,0.1286,AMAZON-02,58.2727
3,0.0,156,0.0,1.5,0.71,0.0,0.0,0.4714,Akamai International B.V.,2.0
10.5,14.85,4350,6151.83,1,1.41,1.4142,1.4142,1.4142,Criteo SA,10.5
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,BIDTELLECT,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
5.5,7.78,2655.5,3755.44,0.5,0.71,1.4142,1.4142,1.4142,OMNITURE,11.0
41,57.98,5303,7499.57,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,82.0
2.5,3.54,155.5,219.91,0.5,0.71,1.4142,1.4142,1.4142,OVH SAS,5.0
