occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
14.5,3.54,2994.5,130.81,2,1.41,0.0437,0.2438,0.7071,GOOGLE,7.25
2.5,3.54,168.5,238.29,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,2.5
4,5.66,588,831.56,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,8.0
0.5,0.71,31,43.84,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
350,494.97,294603,416631.56,2.5,3.54,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,140.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
6.5,7.78,338,404.47,1.5,0.71,1.1966,1.1966,0.4714,AKAMAI-AS,4.3333
5,1.41,329,171.12,2,1.41,0.5201,0.2828,0.7071,AS-PUBMATIC,2.5
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
7,7.07,357,292.74,3.5,2.12,0.82,1.0102,0.6061,AMAZON-02,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
46.5,65.76,33559,47459.59,2.5,3.54,1.4142,1.4142,1.4142,Akamai International B.V.,18.6
5,7.07,2212,3128.24,0.5,0.71,1.4142,1.4142,1.4142,Criteo SA,10.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,4.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,Conversant LLC,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
3,4.24,200.5,283.55,1,1.41,1.4142,1.4142,1.4142,OVH SAS,3.0
