occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
12.5,17.68,6002,8488.11,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,12.5
3.5,4.95,461,651.95,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
1,1.41,60.5,85.56,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
17.5,24.75,3566,5043.09,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-02,11.6667
2.5,3.54,883,1248.75,1.5,2.12,1.4142,1.4142,1.4142,GOOGLE,1.6667
2,2.83,80,113.14,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,5.0
8.5,7.78,494.5,444.77,2,1.41,0.8994,0.9151,0.7071,AKAMAI-AS,4.25
4.5,2.12,689,726.91,1,0.0,1.055,0.4714,0.0,ASN-APPNEX,4.5
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
7,9.9,2342,3312.09,0.5,0.71,1.4142,1.4142,1.4142,Criteo SA,14.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,BIDTELLECT,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,LeaseWeb Netherlands B.V.,3.0
