occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
195,19.8,91807,4969.55,12,5.66,0.0541,0.1015,0.4714,GOOGLE,16.25
8,4.24,1848,1083.29,1,0.0,0.5862,0.5303,0.0,FACEBOOK,8.0
26.5,37.48,4106.5,5807.47,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,53.0
4,5.66,606.5,857.72,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
36.5,28.99,19012,19567.06,3,1.41,1.0292,0.7943,0.4714,AKAMAI-AS,12.1667
138,148.49,80055,99547.91,11,9.9,1.2435,1.076,0.9,AMAZON-02,12.5455
16,15.56,4878,3913.13,3,2.83,0.8022,0.9723,0.9428,CLOUDFLARENET,5.3333
8,11.31,5997.5,8481.75,1.5,2.12,1.4142,1.4142,1.4142,AS-PUBMATIC,5.3333
1.5,2.12,194,274.36,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,3.0
3.5,4.95,484.5,685.19,1,1.41,1.4142,1.4142,1.4142,TWITTER,3.5
6,8.49,2543,3596.35,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,12.0
25.5,23.33,15330.5,13036.93,1,0.0,0.8504,0.9151,0.0,ASN-APPNEX,25.5
12,16.97,6559.5,9276.53,1,1.41,1.4142,1.4142,1.4142,Adform A/S,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2.5,3.54,130,183.85,1.5,2.12,1.4142,1.4142,1.4142,Akamai International B.V.,1.6667
69,69.3,47082,56072.15,5,5.66,1.1909,1.0043,1.1314,Criteo SA,13.8
12,16.97,1639.5,2318.6,2,2.83,1.4142,1.4142,1.4142,FASTLY,6.0
48,49.5,24541,24859.05,1,0.0,1.013,1.0312,0.0,SmartAdServer SAS,48.0
2,2.83,295.5,417.9,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,4.0
2,2.83,532,752.36,0.5,0.71,1.4142,1.4142,1.4142,SOFTLAYER,4.0
11,15.56,6282,8884.09,0.5,0.71,1.4142,1.4142,1.4142,RHYTHMONE,22.0
5.5,7.78,3501,4951.16,0.5,0.71,1.4142,1.4142,1.4142,VOXEL-DOT-NET,11.0
0.5,0.71,547,773.57,0.5,0.71,1.4142,1.4142,1.4142,Hetzner Online GmbH,1.0
3.5,4.95,2458.5,3476.84,0.5,0.71,1.4142,1.4142,1.4142,Amobee EMEA Limited,7.0
5,7.07,2059.5,2912.57,0.5,0.71,1.4142,1.4142,1.4142,DEEPINTENT,10.0
5.5,7.78,3339.5,4722.77,0.5,0.71,1.4142,1.4142,1.4142,Vente-privee.com SA,11.0
6,8.49,4020,5685.14,0.5,0.71,1.4142,1.4142,1.4142,PULSEPOINT,12.0
0.5,0.71,63,89.1,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,1.0
22,31.11,10156,14362.75,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,14.6667
31,43.84,17877.5,25282.6,2,2.83,1.4142,1.4142,1.4142,OVH SAS,15.5
7,9.9,5504.5,7784.54,0.5,0.71,1.4142,1.4142,1.4142,AS-OUTBRAIN,14.0
