occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
23.5,23.33,16527,20194.97,3,1.41,1.2219,0.993,0.4714,GOOGLE,7.8333
6,8.49,2972.5,4203.75,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,6.0
1,1.41,71,100.41,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,2.0
3.5,4.95,450,636.4,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
0.5,0.71,30,42.43,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
9.5,12.02,3242,4511.34,1.5,0.71,1.3915,1.2653,0.4714,FASTLY,6.3333
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
2.5,3.54,130,183.85,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,2.5
67.5,91.22,29196.5,41069.47,5.5,6.36,1.4067,1.3514,1.1571,AMAZON-02,12.2727
19.5,21.92,4874.5,6667.31,2.5,0.71,1.3678,1.1241,0.2828,CLOUDFLARENET,7.8
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
10.5,6.36,2427,2937.32,1,0.0,1.2103,0.6061,0.0,ASN-APPNEX,10.5
1.5,2.12,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,3.0
2.5,3.54,130,183.85,1.5,2.12,1.4142,1.4142,1.4142,Akamai International B.V.,1.6667
9.5,7.78,2509.5,3148.75,1,0.0,1.2547,0.8188,0.0,Criteo SA,9.5
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,4.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,Conversant LLC,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,BIDTELLECT,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
6,8.49,3051,4314.77,0.5,0.71,1.4142,1.4142,1.4142,SOFTLAYER,12.0
2,2.83,129.5,183.14,0.5,0.71,1.4142,1.4142,1.4142,OVH SAS,4.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,SmartAdServer SAS,3.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,3.0
