occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
275.5,388.2,278826.5,394246.68,5,5.66,1.4139,1.4091,1.1314,GOOGLE,55.1
8,11.31,1265,1788.98,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,16.0
2.5,0.71,139,24.04,1,0.0,0.173,0.2828,0.0,APPLE-ENGINEERING,2.5
211.5,201.53,72196.5,59513.64,2.5,2.12,0.8243,0.9528,0.8485,MICROSOFT-CORP-MSN-AS-BLOCK,84.6
22.5,10.61,4401.5,4224.96,7,2.83,0.9599,0.4714,0.4041,AMAZON-02,3.2143
18.5,24.75,9683,13620.29,1,0.0,1.4066,1.3378,0.0,AKAMAI-AS,18.5
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
9,9.9,675,742.46,3,2.83,1.0999,1.0999,0.9428,AS-PUBMATIC,3.0
5,1.41,317,1.41,2,0.0,0.0045,0.2828,0.0,CLOUDFLARENET,2.5
2,2.83,182,257.39,1,1.41,1.4142,1.4142,1.4142,TWITTER,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2,2.83,182,257.39,1,1.41,1.4142,1.4142,1.4142,Criteo SA,2.0
6.5,7.78,469,589.73,2,1.41,1.2574,1.1966,0.7071,FASTLY,3.25
2.5,0.71,176,28.28,1,0.0,0.1607,0.2828,0.0,Conversant LLC,2.5
0.5,0.71,45.5,64.35,0.5,0.71,1.4142,1.4142,1.4142,Hetzner Online GmbH,1.0
1,1.41,98,138.59,0.5,0.71,1.4142,1.4142,1.4142,SOFTLAYER,2.0
1,1.41,90,127.28,0.5,0.71,1.4142,1.4142,1.4142,OVH SAS,2.0
