occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
100,140.01,48630,68699.67,5.5,6.36,1.4127,1.4001,1.1571,GOOGLE,18.1818
15.5,21.92,2525.5,3571.6,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,31.0
1460.5,1250.87,1568092,1299779.64,8.5,10.61,0.8289,0.8565,1.2478,AMAZON-02,171.8235
8.5,12.02,5189.5,7339.06,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,17.0
15,21.21,6398.5,9048.85,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,30.0
18,25.46,9470.5,13393.31,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,18.0
10,14.14,3626,5127.94,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.6667
8,11.31,3690,5218.45,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
4,5.66,2445.5,3458.46,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,8.0
15,21.21,5868,8298.61,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
2,2.83,1252,1770.6,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
19.5,27.58,8905,12593.57,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
5.5,7.78,2236,3162.18,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
4.5,6.36,2101,2971.26,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,9.0
6.5,9.19,3353,4741.86,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
6.5,9.19,3226,4562.25,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,13.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
