occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
541.5,497.1,352210,334568.99,15.5,12.02,0.9499,0.918,0.7755,GOOGLE,34.9355
15.5,17.68,8000,9451.19,1.5,0.71,1.1814,1.1405,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,10.3333
18.5,26.16,7800.5,11031.57,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,18.5
53.5,75.66,8415.5,11901.31,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,107.0
32,45.25,12962.5,18331.74,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,64.0
132,41.01,106008,21638.88,3.5,3.54,0.2041,0.3107,1.0102,AKAMAI-AS,37.7143
429.5,450.43,279198,245047.86,14,15.56,0.8777,1.0487,1.1112,AMAZON-02,30.6786
115,103.24,99006,114928.89,3.5,2.12,1.1608,0.8977,0.6061,CLOUDFLARENET,32.8571
5,7.07,2692.5,3807.77,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,10.0
30,42.43,15081,21327.75,1.5,2.12,1.4142,1.4142,1.4142,AS-PUBMATIC,20.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
26,36.77,9279,13122.49,1,1.41,1.4142,1.4142,1.4142,TWITTER,26.0
4,5.66,1355.5,1916.97,1,1.41,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
44.5,62.93,17153.5,24258.71,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,89.0
29.5,41.72,16976.5,24008.4,1,1.41,1.4142,1.4142,1.4142,ASN-APPNEX,29.5
33,46.67,23327,32989.36,2,2.83,1.4142,1.4142,1.4142,Akamai International B.V.,16.5
11,15.56,5973.5,8447.8,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,22.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
330.5,467.4,308287,435983.66,5,7.07,1.4142,1.4142,1.4142,Criteo SA,66.1
309.5,143.54,308642,141264.38,2.5,2.12,0.4577,0.4638,0.8485,FASTLY,123.8
4.5,6.36,2582,3651.5,0.5,0.71,1.4142,1.4142,1.4142,myLoc managed IT AG,9.0
65,91.92,29345,41500.1,1,1.41,1.4142,1.4142,1.4142,SmartAdServer SAS,65.0
7.5,10.61,3601.5,5093.29,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,15.0
5.5,7.78,3198.5,4523.36,0.5,0.71,1.4142,1.4142,1.4142,Conversant LLC,11.0
6,8.49,3498,4946.92,0.5,0.71,1.4142,1.4142,1.4142,Iguane Solutions SAS,12.0
14.5,20.51,6497,9188.15,0.5,0.71,1.4142,1.4142,1.4142,RHYTHMONE,29.0
12,16.97,7501,10608.02,1,1.41,1.4142,1.4142,1.4142,VOXEL-DOT-NET,12.0
6.5,9.19,3709.5,5246.03,0.5,0.71,1.4142,1.4142,1.4142,ROCKETFUEL,13.0
0.5,0.71,547,773.57,0.5,0.71,1.4142,1.4142,1.4142,Hetzner Online GmbH,1.0
10,14.14,3933.5,5562.81,0.5,0.71,1.4142,1.4142,1.4142,Amobee EMEA Limited,20.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,BIDTELLECT,2.0
6.5,9.19,3966,5608.77,0.5,0.71,1.4142,1.4142,1.4142,PULSEPOINT,13.0
47.5,67.18,16431,23236.94,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,47.5
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,2.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,Limited Liability Company GPM Digital Technologies,1.0
41,57.98,21571,30506.0,1,1.41,1.4142,1.4142,1.4142,OVH SAS,41.0
6.5,9.19,3462.5,4896.71,0.5,0.71,1.4142,1.4142,1.4142,Vente-privee.com SA,13.0
11,15.56,7180.5,10154.76,0.5,0.71,1.4142,1.4142,1.4142,AS-OUTBRAIN,22.0
