occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
97.5,3.54,40512.5,7336.23,5,1.41,0.1811,0.0363,0.2828,GOOGLE,19.5
3.5,4.95,522.5,738.93,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
17.5,24.75,9060.5,12813.48,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,17.5
5,7.07,1626,2299.51,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
32,45.25,14518,20531.55,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,21.3333
23.5,33.23,7247.5,10249.51,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,47.0
180,182.43,89135,59068.87,7.5,6.36,0.6627,1.0135,0.8485,AMAZON-02,24.0
9,12.73,3740.5,5289.87,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,18.0
12,16.97,4757,6727.41,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,24.0
15.5,0.71,5969.5,159.1,1,0.0,0.0267,0.0456,0.0,AS-PUBMATIC,15.5
2.5,3.54,1278,1807.36,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
7,9.9,3021.5,4273.05,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",14.0
20.5,7.78,9099.5,3062.48,1.5,0.71,0.3366,0.3794,0.4714,AMAZON-AES,13.6667
6.5,9.19,2348.5,3321.28,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,13.0
14,19.8,4991.5,7059.05,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,28.0
3,4.24,1014,1434.01,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,6.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,6.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1.0
6.5,9.19,3599.5,5090.46,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
