occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
11.5,0.71,3459.5,232.64,2,1.41,0.0672,0.0615,0.7071,GOOGLE,5.75
2,2.83,248,350.72,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
3,4.24,396.5,560.74,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,6.0
95,132.94,48688,68781.69,2.5,2.12,1.4127,1.3993,0.8485,AMAZON-02,38.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
22.5,31.82,2840,4016.37,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,45.0
