occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
7.5,10.61,1090,1541.49,2,2.83,1.4142,1.4142,1.4142,GOOGLE,3.75
0.5,0.71,104.5,147.79,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
8,11.31,4282.5,6056.37,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
2,2.83,702,992.78,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,4.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
3,4.24,184.5,260.92,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
5.5,2.12,360,171.12,3,1.41,0.4753,0.3857,0.4714,AMAZON-02,1.8333
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
