occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
19.5,20.51,1813,2032.22,5,4.24,1.1209,1.0516,0.8485,GOOGLE,3.9
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
0.5,0.71,69,97.58,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
6,8.49,312,441.23,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,12.0
4,5.66,205,289.91,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
7.5,10.61,471.5,666.8,3,4.24,1.4142,1.4142,1.4142,AMAZON-02,2.5
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,3.0
1,1.41,98,138.59,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
