occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
38,5.66,13327,7121.98,4,0.0,0.5344,0.1489,0.0,GOOGLE,9.5
3,1.41,2473.5,3297.24,1,0.0,1.333,0.4714,0.0,FACEBOOK,3.0
7.5,10.61,1150.5,1627.05,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,15.0
240,284.26,96134.5,106720.09,7.5,3.54,1.1101,1.1844,0.4714,AMAZON-02,32.0
2.5,3.54,745.5,1054.3,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,5.0
1.5,2.12,60,84.85,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,1.5
0.5,0.71,30.5,43.13,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
2,2.83,104,147.08,1,1.41,1.4142,1.4142,1.4142,EDGECAST,2.0
15.5,6.36,6251.5,712.06,2,1.41,0.1139,0.4106,0.7071,AKAMAI-AS,7.75
2,2.83,344,486.49,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,4.0
5.5,6.36,2413,3355.93,1,0.0,1.3908,1.1571,0.0,RUBICONPROJECT,5.5
5,7.07,2246.5,3177.03,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",10.0
3.5,4.95,2076.5,2936.61,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,7.0
1,1.41,126,178.19,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
2,2.83,225,318.2,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
6.5,9.19,3331,4710.75,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
5.5,7.78,2182,3085.81,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,11.0
239.5,338.7,281077.5,397503.61,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,479.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,CASALE-MEDIA,1.0
20.5,28.99,12407.5,17546.85,0.5,0.71,1.4142,1.4142,1.4142,DOUBLE-VERIFY,41.0
