occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
18,16.97,2708.5,3345.32,3,1.41,1.2351,0.9428,0.4714,GOOGLE,6.0
3.5,4.95,509.5,720.54,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
7.5,10.61,4257,6020.31,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,7.5
301,425.68,251737,356009.88,2,2.83,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,150.5
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,4.0
1.5,0.71,60,28.28,1,0.0,0.4714,0.4714,0.0,CLOUDFLARENET,1.5
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
2,2.83,136.5,193.04,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,4.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
1,1.41,46,65.05,0.5,0.71,1.4142,1.4142,1.4142,APPLE-AUSTIN,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,1.0
45,41.01,36606.5,36788.64,1.5,0.71,1.005,0.9114,0.4714,Akamai International B.V.,30.0
2,1.41,104,73.54,1,0.0,0.7071,0.7071,0.0,AMAZON-02,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,CASALE-MEDIA,1.0
