occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
5.5,4.95,1584,2077.48,2,0.0,1.3115,0.9,0.0,GOOGLE,2.75
2,2.83,80,113.14,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.3333
7,8.49,412,509.12,2.5,2.12,1.2357,1.2122,0.8485,EDGECAST,2.8
1.5,2.12,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
2.5,3.54,145.5,205.77,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,5.0
4.5,0.71,610,551.54,1.5,0.71,0.9042,0.1571,0.4714,Yahoo! UK Services Limited,3.0
2.5,3.54,153,216.37,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,5.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,Rtb House S.A.,3.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,BIDTELLECT,1.0
3,4.24,144,203.65,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-SP1,6.0
2.5,3.54,148,209.3,1,1.41,1.4142,1.4142,1.4142,internet content provider,2.5
7,9.9,3636,5142.08,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,14.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3,4.24,156,220.62,1,1.41,1.4142,1.4142,1.4142,AMAZON-02,3.0
3,0.0,156,0.0,1,0.0,0.0,0.0,0.0,AMAZON-AES,3.0
1,1.41,58,82.02,0.5,0.71,1.4142,1.4142,1.4142,Internet content provider,2.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-CHA,3.0
