occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
24,1.41,5501.5,3482.5,5.5,0.71,0.633,0.0589,0.1286,GOOGLE,4.3636
7,9.9,3059.5,4326.79,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,7.0
5,7.07,1039,1469.37,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,10.0
2,2.83,255,360.62,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
1.5,2.12,126,178.19,1,1.41,1.4142,1.4142,1.4142,FASTLY,1.5
3.5,4.95,182,257.39,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,7.0
1,1.41,40,56.57,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
2,2.83,99.5,140.71,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.3333
43.5,60.1,16890.5,23336.65,7.5,9.19,1.3816,1.3817,1.2257,AMAZON-02,5.8
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
6.5,9.19,2203,3115.51,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,13.0
5,7.07,260,367.7,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,2.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
8,11.31,4282.5,6056.37,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,Conversant LLC,1.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,1.0
2.5,3.54,1012.5,1431.89,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,2.5
