occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
187.5,106.77,188370,218553.98,4.5,2.12,1.1602,0.5695,0.4714,GOOGLE,41.6667
5.5,7.78,286,404.47,1,1.41,1.4142,1.4142,1.4142,EDGECAST,5.5
2,2.83,80,113.14,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,STACKPATH-CDN,3.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
4.5,6.36,241.5,341.53,2,2.83,1.4142,1.4142,1.4142,AMAZON-02,2.25
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
9,12.73,468,661.85,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,6.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3,4.24,175,247.49,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,6.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
4,0.0,259,0.0,1,0.0,0.0,0.0,0.0,Criteo SA,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,2.0
1.5,2.12,91.5,129.4,0.5,0.71,1.4142,1.4142,1.4142,PULSEPOINT,3.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,CASALE-MEDIA,3.0
1.5,2.12,72,101.82,0.5,0.71,1.4142,1.4142,1.4142,DOUBLE-VERIFY,3.0
