occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
119,168.29,50904.5,71989.83,5.5,7.78,1.4142,1.4142,1.4142,GOOGLE,21.6364
11,15.56,5723.5,8094.25,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,11.0
17.5,24.75,2846.5,4025.56,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,35.0
547.5,40.31,437606,308495.13,8,9.9,0.705,0.0736,1.2374,AMAZON-02,68.4375
9.5,13.44,3600,5091.17,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.3333
0.5,0.71,30,42.43,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
21.5,19.09,9671.5,13021.37,2,0.0,1.3464,0.888,0.0,AKAMAI-AS,10.75
16,22.63,7245,10245.98,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,32.0
20,28.28,8931,12630.34,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.3333
8,11.31,3700.5,5233.3,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6.5,9.19,2575.5,3642.31,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
14.5,20.51,5843,8263.25,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,14.5
5.5,7.78,2237,3163.6,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
6,8.49,3328,4706.5,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
4,5.66,2595.5,3670.59,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,8.0
4.5,6.36,2093,2959.95,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,9.0
963.5,1362.59,1153679,1631548.49,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1927.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
