occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
515,41.01,410806.5,62156.81,8.5,2.12,0.1513,0.0796,0.2496,GOOGLE,60.5882
5.5,4.95,2366,3198.95,1,0.0,1.3521,0.9,0.0,MICROSOFT-CORP-MSN-AS-BLOCK,5.5
2,2.83,142,200.82,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,4.0
30,42.43,4311,6096.67,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,60.0
7.5,10.61,2195.5,3104.91,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,7.5
689,849.94,634284.5,829442.62,4,4.24,1.3077,1.2336,1.0607,Yahoo! UK Services Limited,172.25
1.5,2.12,91,128.69,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,3.0
76,107.48,38085.5,53861.03,3,4.24,1.4142,1.4142,1.4142,EDGECAST,25.3333
172,135.76,86762.5,77041.41,9,4.24,0.888,0.7893,0.4714,AMAZON-02,19.1111
7,9.9,3018.5,4268.8,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,14.0
19.5,27.58,6509.5,9205.82,1,1.41,1.4142,1.4142,1.4142,ASN-APPNEX,19.5
4.5,6.36,2526,3572.3,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,9.0
2,2.83,136.5,193.04,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,4.0
39.5,36.06,16996.5,15682.92,1.5,0.71,0.9227,0.913,0.4714,AKAMAI-AS,26.3333
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
9,12.73,3839,5429.17,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,18.0
11.5,16.26,5773,8164.25,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,23.0
6.5,9.19,3729.5,5274.31,0.5,0.71,1.4142,1.4142,1.4142,Rtb House S.A.,13.0
4.5,6.36,2495.5,3529.17,0.5,0.71,1.4142,1.4142,1.4142,MEDIAMATH-INC,9.0
5,7.07,2471.5,3495.23,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,10.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,CASALE-MEDIA,1.0
6,8.49,3367.5,4762.36,0.5,0.71,1.4142,1.4142,1.4142,internet content provider,12.0
7,9.9,3431.5,4852.87,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-CHA,14.0
7.5,10.61,4140,5854.84,0.5,0.71,1.4142,1.4142,1.4142,LLNW,15.0
5,7.07,2633.5,3724.33,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,10.0
7,9.9,3431.5,4852.87,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-GQ1,14.0
14.5,20.51,6911,9773.63,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-1,29.0
7,9.9,3430.5,4851.46,0.5,0.71,1.4142,1.4142,1.4142,Yahoo China Datacenter,14.0
