occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
12.5,14.85,3329.5,4561.55,3,2.83,1.37,1.1879,0.9428,GOOGLE,4.1667
6,4.24,2972.5,2341.23,1,0.0,0.7876,0.7071,0.0,MICROSOFT-CORP-MSN-AS-BLOCK,6.0
2,2.83,229,323.85,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
154.5,195.87,42228.5,48154.68,6.5,3.54,1.1403,1.2678,0.5439,AMAZON-02,23.7692
5.5,7.78,2147.5,3037.02,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,11.0
30,39.6,11217,14963.79,1.5,0.71,1.334,1.3199,0.4714,AKAMAI-AS,20.0
8,11.31,416,588.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,16.0
2,2.83,80,113.14,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",2.0
5.5,7.78,2180.5,3083.69,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,11.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
2,2.83,80,113.14,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
2,2.83,344,486.49,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,4.0
1,1.41,125,176.78,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
2,2.83,223,315.37,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,4.0
4,5.66,2104,2975.51,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,8.0
5.5,7.78,3031,4286.48,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,11.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,2.0
357,504.87,424061,599712.82,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,714.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
