occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
94,131.52,44636,63051.3,4.5,4.95,1.4126,1.3992,1.0999,GOOGLE,20.8889
24.5,34.65,3975.5,5622.21,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,49.0
502,175.36,432880,380103.84,8,7.07,0.8781,0.3493,0.8839,AMAZON-02,62.75
14,19.8,6681.5,9449.07,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,28.0
41,57.98,27564,38981.38,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,41.0
50,46.67,24960.5,21715.96,2,1.41,0.87,0.9334,0.7071,AKAMAI-AS,25.0
15,21.21,6785,9595.44,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,30.0
8,11.31,3690,5218.45,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6.5,9.19,2576.5,3643.72,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
15.5,21.92,5770.5,8160.72,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
10,14.14,3620.5,5120.16,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,6.6667
19.5,27.58,8905,12593.57,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.0
5.5,7.78,2237.5,3164.3,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
4,5.66,2595,3669.88,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,8.0
6.5,9.19,3353,4741.86,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
4.5,6.36,2101,2971.26,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,9.0
929.5,1314.51,1120739,1584964.29,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,1859.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
