occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
25,28.28,2931.5,3626.75,3,1.41,1.2372,1.1314,0.4714,GOOGLE,8.3333
4,5.66,628,888.13,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,8.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
40.5,57.28,14580,20619.23,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,40.5
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
3.5,4.95,182,257.39,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,7.0
8,11.31,2871,4060.21,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,16.0
52.5,74.25,9884.5,13978.79,1,1.41,1.4142,1.4142,1.4142,AMAZON-02,52.5
7.5,10.61,4256.5,6019.6,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,7.5
2,2.83,135.5,191.63,0.5,0.71,1.4142,1.4142,1.4142,BBC,4.0
2,2.83,362,511.95,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,4.0
