occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
22,7.07,4444,5014.8,3.5,0.71,1.1284,0.3214,0.202,AKAMAI-AS,6.2857
6,8.49,312,441.23,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,12.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,4.0
16.5,23.33,22126.5,31291.6,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,33.0
51.5,71.42,4708.5,6602.26,3.5,3.54,1.4022,1.3868,1.0102,AMAZON-02,14.7143
2,2.83,80,113.14,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
