occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
99,137.18,46436.5,65467.48,4.5,4.95,1.4098,1.3856,1.0999,GOOGLE,22.0
6,8.49,859.5,1215.52,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,2294,3244.21,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
25,35.36,13784.5,19494.23,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,12.5
14,19.8,6339,8964.7,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,28.0
12.5,17.68,5962.5,8432.25,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,25.0
5,7.07,2211,3126.83,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,10.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
4.5,6.36,2472,3495.94,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
15,21.21,5868,8298.61,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
3.5,4.95,1566.5,2215.37,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
171,65.05,82354,30900.57,7.5,4.95,0.3752,0.3804,0.66,AMAZON-02,22.8
23.5,33.23,11949.5,16899.14,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,15.6667
6,8.49,3620.5,5120.16,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,12.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
4,5.66,2591.5,3664.93,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,8.0
6,8.49,3361,4753.17,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
