occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3.5,0.71,231,32.53,1.5,0.71,0.1408,0.202,0.4714,GOOGLE,2.3333
2.5,3.54,498,704.28,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,5.0
5,5.66,200,226.27,1.5,0.71,1.1314,1.1314,0.4714,CLOUDFLARENET,3.3333
19.5,26.16,4315,6028.79,2,1.41,1.3972,1.3417,0.7071,AKAMAI-AS,9.75
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
73,73.54,19313.5,6651.75,4.5,3.54,0.3444,1.0074,0.7857,AMAZON-02,16.2222
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
16.5,12.02,765.5,613.06,4,1.41,0.8009,0.7285,0.3536,EBAY,4.125
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,1.0
19.5,27.58,19917.5,28167.6,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,39.0
8,11.31,4282.5,6056.37,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
20.5,28.99,7164,10131.43,0.5,0.71,1.4142,1.4142,1.4142,DOUBLE-VERIFY,41.0
