occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
27.5,38.89,4024.5,5691.5,3,4.24,1.4142,1.4142,1.4142,GOOGLE,9.1667
1,1.41,170.5,241.12,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
1.5,2.12,91.5,129.4,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,3.0
10.5,14.85,3925.5,5551.5,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,10.5
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,2.0
2.5,3.54,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
44.5,57.28,11057.5,10731.76,2,1.41,0.9705,1.2871,0.7071,AMAZON-02,22.25
9,11.31,432,537.4,4,4.24,1.244,1.2571,1.0607,EBAY,2.25
2.5,3.54,419.5,593.26,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,5.0
3,4.24,171.5,242.54,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,3.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
7,9.9,987.5,1396.54,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,14.0
