occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
10,11.31,1767.5,2308.7,1.5,0.71,1.3062,1.1314,0.4714,GOOGLE,6.6667
17,24.04,4193,5929.8,2.5,3.54,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,6.8
3.5,4.95,182,257.39,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,7.0
3,4.24,120,169.71,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,6.0
6.5,7.78,302,353.55,3.5,3.54,1.1707,1.1966,1.0102,EBAY,1.8571
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
5,7.07,281.5,398.1,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,3.3333
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
2,2.83,136.5,193.04,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
