occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
8.5,2.12,697.5,415.07,2.5,0.71,0.5951,0.2496,0.2828,GOOGLE,3.4
1.5,2.12,658.5,931.26,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,3.0
0.5,0.71,41.5,58.69,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
3.5,4.95,140,197.99,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,7.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
2,2.83,152,214.96,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,4.0
6.5,6.36,314,296.98,3.5,3.54,0.9458,0.9791,1.0102,EBAY,1.8571
3.5,4.95,197.5,279.31,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,3.5
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
