occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
11,2.83,918,564.27,3.5,0.71,0.6147,0.2571,0.202,GOOGLE,3.1429
14.5,20.51,6281,8882.68,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,29.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,5.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,6.0
3,4.24,120,169.71,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,6.0
6,2.83,270,104.65,3,0.0,0.3876,0.4714,0.0,EBAY,2.0
3.5,4.95,197.5,279.31,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,3.5
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,1.0
2,2.83,136.5,193.04,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
