occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
253,326.68,246393.5,326367.26,6,2.83,1.3246,1.2912,0.4714,GOOGLE,42.1667
2,2.83,260,367.7,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
2,2.83,261.5,369.82,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,4.0
0.5,0.71,29.5,41.72,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
1,1.41,71.5,101.12,1,1.41,1.4142,1.4142,1.4142,EDGECAST,1.0
6,8.49,312,441.23,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,12.0
3.5,4.95,140,197.99,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,7.0
9,12.73,439,620.84,3,4.24,1.4142,1.4142,1.4142,EBAY,3.0
2,2.83,110,155.56,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
814,1151.17,1035162,1463940.14,1.5,2.12,1.4142,1.4142,1.4142,YOUTUBE,542.6667
