occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
119,165.46,50062,70495.72,5,5.66,1.4082,1.3904,1.1314,GOOGLE,23.8
4.5,6.36,564,797.62,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,9.0
16,22.63,9063,12817.02,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,32.0
4,5.66,1592,2251.43,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
26.5,37.48,11757,16626.91,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,17.6667
19,26.87,7024.5,9934.14,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,38.0
258.5,0.71,202559.5,129262.66,7,4.24,0.6381,0.0027,0.6061,AMAZON-02,36.9286
10,14.14,4974.5,7035.01,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,20.0
6,8.49,2653,3751.91,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
7,9.9,2602,3679.78,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,14.0
15,21.21,5869,8300.02,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
9,12.73,2932,4146.47,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,18.0
5.5,7.78,2236.5,3162.89,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
20.5,28.99,9545.5,13499.38,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.6667
2.5,3.54,1284,1815.85,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
4.5,6.36,2093,2959.95,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,9.0
6,8.49,3328,4706.5,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
