occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
30.5,41.72,5520,7732.92,4,4.24,1.4009,1.3678,1.0607,GOOGLE,7.625
10.5,10.61,5286.5,5613.72,1,0.0,1.0619,1.0102,0.0,MICROSOFT-CORP-MSN-AS-BLOCK,10.5
2,2.83,223.5,316.08,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
2.5,3.54,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
4.5,6.36,234,330.93,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,9.0
71,100.41,59931.5,84755.94,2,2.83,1.4142,1.4142,1.4142,THM,35.5
115.5,159.1,63758,89963.78,4,2.83,1.411,1.3775,0.7071,EBAY,28.875
194.5,275.06,216549.5,306247.24,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,389.0
156.5,221.32,192421,272124.39,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,313.0
3.5,4.95,981,1387.34,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,7.0
1.5,2.12,110.5,156.27,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,YOUTUBE,4.0
