occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
7.5,0.71,997,564.27,2.5,2.12,0.566,0.0943,0.8485,GOOGLE,3.0
9,12.73,3744,5294.82,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
0.5,0.71,49.5,70.0,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
15,21.21,3233,4572.15,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,15.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
0.5,0.71,62.5,88.39,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,1.0
2,2.83,150,212.13,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
52,72.12,5279,7327.04,3,2.83,1.388,1.387,0.9428,AMAZON-02,17.3333
1,1.41,59.5,84.15,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
18.5,26.16,22203.5,31400.49,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,37.0
2,2.83,113.5,160.51,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
