occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
94,118.79,43778.5,60359.34,4.5,4.95,1.3787,1.2638,1.0999,GOOGLE,20.8889
7.5,10.61,989.5,1399.36,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,15.0
14,19.8,6683.5,9451.9,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,28.0
34.5,48.79,14639,20702.67,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,23.0
15.5,21.92,6816.5,9639.99,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,31.0
216,42.43,123334.5,14524.68,6,5.66,0.1178,0.1964,0.9428,AMAZON-02,36.0
8,11.31,3690,5218.45,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
6,8.49,2653.5,3752.62,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
4,5.66,2446,3459.17,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,8.0
15,21.21,5867.5,8297.9,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
3.5,4.95,1565.5,2213.95,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
20,28.28,8959.5,12670.65,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.3333
5.5,7.78,2236.5,3162.89,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
6.5,9.19,3354,4743.27,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
321,453.96,387986.5,548695.77,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,642.0
4.5,6.36,2093,2959.95,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,9.0
10.5,14.85,4253.5,6015.36,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,21.0
5,7.07,2643.5,3738.47,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,10.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
