occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
6,8.49,327.5,463.15,1,1.41,1.4142,1.4142,1.4142,GOOGLE,6.0
4.5,6.36,2314,3272.49,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
2,2.83,258.5,365.57,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
1.5,2.12,60,84.85,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,1.5
5,7.07,260,367.7,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,10.0
1.5,2.12,78,110.31,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,1.5
2.5,3.54,136,192.33,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,5.0
2.5,3.54,130,183.85,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
80.5,113.84,34292,48496.21,4,5.66,1.4142,1.4142,1.4142,AMAZON-02,20.125
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
