occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
106,144.25,46547.5,65533.95,5.5,6.36,1.4079,1.3608,1.1571,GOOGLE,19.2727
4.5,6.36,612.5,866.21,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,9.0
15.5,21.92,7985,11292.5,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,31.0
4,5.66,1592,2251.43,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
15.5,21.92,6821,9646.35,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,31.0
17.5,24.75,9439.5,13349.47,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,17.5
6.5,9.19,2576,3643.01,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
15,21.21,5869,8300.02,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
294,9.9,236125,154118.17,7,8.49,0.6527,0.0337,1.2122,AMAZON-02,42.0
6,8.49,2652.5,3751.2,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
8,11.31,3690,5218.45,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
5.5,7.78,2237,3163.6,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
12.5,17.68,5576.5,7886.36,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,12.5
6.5,9.19,3353.5,4742.57,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,13.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
7,9.9,2755,3896.16,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,14.0
