occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
26,35.36,3854,5376.84,2.5,2.12,1.3951,1.3598,0.8485,GOOGLE,10.4
12.5,7.78,5988.5,4620.94,1,0.0,0.7716,0.6223,0.0,MICROSOFT-CORP-MSN-AS-BLOCK,12.5
1,1.41,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
0.5,0.71,41.5,58.69,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
6.5,9.19,658.5,931.26,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,13.0
6,8.49,312,441.23,1,1.41,1.4142,1.4142,1.4142,AMAZON-02,6.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,4.0
11.5,16.26,2609.5,3690.39,0.5,0.71,1.4142,1.4142,1.4142,GITHUB,23.0
2.5,3.54,2412,3411.08,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,5.0
