occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
91.5,109.6,36705,48678.65,5,5.66,1.3262,1.1978,1.1314,GOOGLE,18.3
3.5,4.95,520.5,736.1,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
19,26.87,9153,12944.3,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,19.0
13,18.38,4382.5,6197.79,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,8.6667
11,15.56,5768,8157.18,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,22.0
219,272.94,153946,205140.16,7,8.49,1.3325,1.2463,1.2122,AMAZON-02,31.2857
2.5,3.54,666.5,942.57,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,5.0
6.5,9.19,2576.5,3643.72,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
3.5,4.95,1566.5,2215.37,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
19,26.87,8875,12551.15,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
15.5,21.92,5895,8336.79,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
2,2.83,775,1096.02,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",4.0
4.5,6.36,2055,2906.21,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,9.0
3,4.24,383.5,542.35,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
1.5,2.12,1222,1728.17,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
7,9.9,2747,3884.84,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,14.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
19.5,4.95,9344,1101.67,1.5,0.71,0.1179,0.2538,0.4714,APPLE-ENGINEERING,13.0
