occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3,4.24,332.5,470.23,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,6.0
4.5,6.36,1447.5,2047.07,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,9.0
92,104.65,38841,46646.42,4,4.24,1.201,1.1375,1.0607,GOOGLE,23.0
9.5,13.44,5622,7950.71,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,19.0
4.5,6.36,1606,2271.23,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,4.5
16,22.63,6839,9671.81,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,32.0
5.5,7.78,2209.5,3124.7,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,5.5
4.5,4.95,2040.5,2324.26,1,0.0,1.1391,1.0999,0.0,RUBICONPROJECT,4.5
2.5,3.54,801,1132.79,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",5.0
6.5,9.19,2572.5,3638.06,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
136,60.81,46273,2149.6,6.5,2.12,0.0465,0.4471,0.3264,AMAZON-02,20.9231
15,21.21,5865.5,8295.07,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
3,4.24,382.5,540.94,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,APPLE-AUSTIN,3.0
2,2.83,1252,1770.6,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
10.5,14.85,5464.5,7727.97,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,10.5
21,29.7,25876.5,36594.9,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,42.0
2.5,3.54,1112,1572.61,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,5.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
3.5,4.95,778.5,1100.97,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,7.0
